MatrixID,SpeciesAccepted,Authors,YearPublication
238259,Abies balsamea,Silvertown; Dodd,1999
238260,Abies balsamea,Silvertown; Dodd,1999
238261,Agave vivipara,Arias-Medellín; Bonfil; Valverde; ,2016
238262,Agave vivipara,Arias-Medellín; Bonfil; Valverde; ,2016
238263,Allium vineale,Burns; Pardini; Schutzenhofer; Chung; Seidler; Knight,2013
238265,Araucaria cunninghamii,Enright,1982
238266,Araucaria cunninghamii,Enright,1982
238271,Ascophyllum nodosum,Aberg,1990
238272,Ascophyllum nodosum,Aberg,1990
238273,Ascophyllum nodosum,Aberg,1990
238274,Ascophyllum nodosum,Aberg,1990
238275,Astragalus cottonii,Kaye,1990
238276,Astragalus cottonii,Kaye,1990
238277,Astragalus cottonii,Kaye,1990
238278,Astragalus cottonii,Kaye,1990
238279,Astragalus cottonii,Kaye,1990
238280,Astragalus bibullatus,Albrecht; Knight; Bernardo,2016
238281,Astragalus bibullatus,Albrecht; Knight; Bernardo,2016
238282,Astragalus bibullatus,Albrecht; Knight; Bernardo,2016
238283,Astragalus bibullatus,Albrecht; Knight; Bernardo,2016
238284,Betula pendula,Maillette,1982
238285,Caladenia amonea,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238286,Caladenia argocalla,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238287,Caladenia clavigera,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238288,Caladenia elegans,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238289,Caladenia graniticola,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238290,Caladenia macroclavia,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238291,Caladenia oenochila,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238292,Caladenia rosella,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238293,Caladenia valida,Raymond L. Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,2009
238301,Carex membranacea,Tolvanen; Schroderus; Henry,2001
238304,Carex membranacea,Tolvanen; Schroderus; Henry,2001
238306,Cassia nemophila,Silander,1983
238307,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238308,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238309,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238310,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238311,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238312,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238313,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238314,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238315,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238316,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238317,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238318,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238319,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238320,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238321,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238322,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238323,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238324,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238325,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238326,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238327,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238328,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238329,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238330,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238331,Chamaedorea radicalis,Ash; Gorchov; Endress,2013
238332,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238333,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238334,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238335,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238336,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238337,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238338,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238339,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238340,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238341,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238342,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238343,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238344,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238345,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238346,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238347,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238348,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238349,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238350,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238351,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238352,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238353,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238354,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238355,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238356,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238357,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238358,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238359,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238360,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238361,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238362,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238363,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238364,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238365,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238366,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238367,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238368,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238369,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238370,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238371,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238372,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238373,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238374,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238375,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238376,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238377,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238378,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238379,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238380,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238381,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238382,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238383,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238384,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238385,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238386,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238387,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238388,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238389,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238390,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238391,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238392,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238393,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238394,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238395,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238396,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238397,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238398,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238399,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238400,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238401,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238402,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238403,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238404,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238405,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238406,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238407,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238408,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238409,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238410,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238411,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238412,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238413,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238414,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238415,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238416,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238417,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238418,Conradina glabra,Bladow; Bohner; Winn,2017
238419,Conradina glabra,Bladow; Bohner; Winn,2017
238420,Conradina glabra,Bladow; Bohner; Winn,2017
238421,Conradina glabra,Bladow; Bohner; Winn,2017
238422,Conradina glabra,Bladow; Bohner; Winn,2017
238423,Conradina glabra,Bladow; Bohner; Winn,2017
238424,Conradina glabra,Bladow; Bohner; Winn,2017
238425,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238426,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
